Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,6,0,0.0,411.1,70,0,0.0,316.75,82,0,0.0,355.05,40,0,0.0,333.36
August,1,0:30,5,0,0.0,364.12,70,0,0.0,331.72,66,0,0.0,335.59,30,0,0.0,328.23
August,1,1:00,4,0,0.0,309.55,87,0,0.0,358.16,51,0,0.0,329.43,22,0,0.0,341.13
August,1,1:30,3,0,0.0,249.37,87,0,0.0,300.0,39,0,0.0,321.37,16,0,0.0,318.03
August,1,2:00,3,0,0.0,255.65,93,0,0.0,320.07,35,0,0.0,319.57,11,0,0.0,328.21
August,1,2:30,2,0,0.0,268.64,95,0,0.0,347.19,34,0,0.0,329.35,7,0,0.0,335.69
August,1,3:00,2,0,0.0,207.38,99,0,0.0,380.11,33,0,0.0,344.6,3,0,0.0,337.23
August,1,3:30,2,0,0.0,208.32,117,0,0.0,369.81,36,0,0.0,363.87,1,0,0.0,271.24
August,1,4:00,2,0,0.0,245.03,117,0,0.0,302.02,36,0,0.0,343.22,0,0,0.0,250.79
August,1,4:30,2,0,0.0,256.69,116,0,1e-06,247.81,25,0,0.0,344.33,0,0,0.0,264.09
August,1,5:00,2,0,0.000196,253.38,86,0,0.00017,258.22,26,0,5e-06,328.42,0,0,0.000328,297.6
August,1,5:30,2,0,0.025272,242.41,69,0,0.006097,273.27,30,0,0.000787,314.88,2,0,0.011556,312.96
August,1,6:00,3,1,0.453283,231.72,65,3,0.053422,302.25,41,0,0.011983,290.15,11,1,0.052173,273.89
August,1,6:30,5,5,1.0,255.32,64,8,0.120475,335.66,63,1,0.022392,273.59,25,2,0.063076,265.68
August,1,7:00,10,7,0.66588,297.69,77,4,0.048053,301.83,107,1,0.011383,271.38,46,1,0.01625,271.24
August,1,7:30,22,4,0.159253,311.18,87,3,0.034214,286.28,178,2,0.011916,272.88,78,1,0.010365,282.39
August,1,8:00,52,1,0.013823,302.14,112,2,0.017314,292.86,306,1,0.003578,287.97,133,1,0.010083,283.65
August,1,8:30,92,0,0.000331,309.53,156,4,0.022503,312.55,452,1,0.001116,306.28,190,2,0.008799,288.28
August,1,9:00,136,0,2e-06,319.87,212,4,0.021222,330.5,637,2,0.003663,313.38,263,3,0.010675,298.74
