Date,Call Volume,CCT,Service Level,Abandon Rate,client,source_sheet,Date_raw,day_of_week,day_name,month,month_name,day_of_month,week_of_year,quarter,quarter_label,is_weekend,is_monday,is_sunday,is_month_start,is_month_end,is_pay_period,dow_sin,dow_cos,month_sin,month_cos,hour,minute,hour_sin,hour_cos,interval_num,interval_sin,interval_cos,Call Volume_lag_1,Call Volume_lag_2,Call Volume_lag_7,Call Volume_lag_14,Call Volume_lag_21,Call Volume_lag_28,Call Volume_rollmean_3,Call Volume_rollstd_3,Call Volume_rollmin_3,Call Volume_rollmax_3,Call Volume_rollmean_7,Call Volume_rollstd_7,Call Volume_rollmin_7,Call Volume_rollmax_7,Call Volume_rollmean_14,Call Volume_rollstd_14,Call Volume_rollmin_14,Call Volume_rollmax_14,Call Volume_rollmean_30,Call Volume_rollstd_30,Call Volume_rollmin_30,Call Volume_rollmax_30,diff_lag7,pct_change_7,volatility_ratio,volume_x_service,volume_x_abandon,lag7_x_weekend,interval_x_dow,trend,trend_squared,outlier_column
2024-01-02,7458.0,349.22,0.5213,0.1136,A,A - Daily,01/02/24 Tue,1,Tuesday,1,January,2,1,1,Q1,0,0,0,1,0,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0,0,0.0,1.0,0,0.0,1.0,2147.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3887.8554,847.2288000000001,,0,1,1,Abandon Rate
2024-04-08,4937.0,306.97,0.6551,0.0608,A,A - Daily,04/08/24 Mon,0,Monday,4,April,8,15,2,Q2,0,1,0,0,0,0,0.0,1.0,0.8660254037844387,-0.49999999999999983,0,0,0.0,1.0,0,0.0,1.0,1434.0,3615.0,5958.0,5533.0,5367.0,5459.0,3518.0,2037.2326818505544,1434.0,5505.0,4741.285714285715,1654.914671947943,1434.0,5958.0,4399.928571428572,1620.3690683243788,594.0,5958.0,4146.833333333333,1512.8250595886952,594.0,5958.0,-1021.0,-0.171366230278617,0.3490434392008075,3234.2287,300.1696,0.0,0,98,9604,Abandon Rate
2024-04-26,4474.0,311.38,0.8663,0.0886,A,A - Daily,04/26/24 Fri,4,Friday,4,April,26,17,2,Q2,0,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.49999999999999983,0,0,0.0,1.0,0,0.0,1.0,4716.0,4882.0,4671.0,4462.0,5505.0,4600.0,4814.333333333333,87.1454722480478,4716.0,4882.0,4154.714285714285,1394.618432198775,1429.0,5416.0,4100.714285714285,1332.2509828552113,1352.0,5416.0,4278.366666666667,1408.2207282738837,594.0,5958.0,-197.0,-0.04217512309997859,0.33567132088819673,3875.8262,396.39639999999997,0.0,0,116,13456,Abandon Rate
2024-10-02,5248.0,293.44,0.8162,0.046,A,A - Daily,10/02/24 Wed,2,Wednesday,10,October,2,40,4,Q4,0,0,0,1,0,0,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,0,0,0.0,1.0,0,0.0,1.0,5350.0,5056.0,4816.0,4853.0,6173.0,6173.0,3855.6666666666665,2338.2750764897924,1161.0,5350.0,3896.4285714285716,1495.9033900559684,1161.0,5350.0,4056.3571428571427,1365.9168015626744,1161.0,5350.0,5087.666666666667,1434.418573387186,1161.0,6860.0,432.0,0.08970099667774087,0.3839165437357206,4283.4176,241.408,0.0,0,275,75625,Abandon Rate
2025-06-30,4987.0,328.38,0.6614,0.0712,A,A - Daily,06/30/25 Mon,0,Monday,6,June,30,27,2,Q2,0,1,0,0,1,0,0.0,1.0,1.2246467991473532e-16,-1.0,0,0,0.0,1.0,0,0.0,1.0,1213.0,2740.0,5164.0,4523.0,4907.0,5596.0,2732.0,1515.0158415013498,1213.0,4243.0,3819.714285714286,1369.3879063637241,1213.0,5164.0,3776.9285714285716,1273.2108088357752,1191.0,5164.0,3936.3,1224.7356970327162,1191.0,5596.0,-177.0,-0.03427575522850503,0.35850532367963456,3298.4018,355.07439999999997,0.0,0,546,298116,Abandon Rate
2025-10-02,4616.0,310.61,0.8813,0.0479,A,A - Daily,10/02/25 Thu,3,Thursday,10,October,2,40,4,Q4,0,0,0,1,0,0,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,0,0,0.0,1.0,0,0.0,1.0,4583.0,4537.0,4005.0,3935.0,3930.0,4397.0,4511.333333333333,87.37467215018609,4414.0,4583.0,3613.714285714286,1236.8071412964453,1198.0,4583.0,3538.785714285714,1130.946450379662,1179.0,4583.0,3650.1,1128.4698015912813,1179.0,5277.0,611.0,0.15255930087390762,0.3422537155706482,4068.0807999999997,221.10639999999998,0.0,0,640,409600,Abandon Rate
2024-01-02,14914.0,356.37,0.565,0.132,B,B - Daily,01/02/24 Tue,1,Tuesday,1,January,2,1,1,Q1,0,0,0,1,0,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0,0,0.0,1.0,0,0.0,1.0,4406.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8426.41,1968.6480000000001,,0,1,1,Abandon Rate
2024-01-03,14132.0,347.41,0.6218,0.0797,B,B - Daily,01/03/24 Wed,2,Wednesday,1,January,3,1,1,Q1,0,0,0,1,0,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0,0,0.0,1.0,0,0.0,1.0,14914.0,4406.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8787.2776,1126.3203999999998,,0,2,4,Abandon Rate
2024-01-04,12487.0,344.92,0.6122,0.0824,B,B - Daily,01/04/24 Thu,3,Thursday,1,January,4,1,1,Q1,0,0,0,0,0,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0,0,0.0,1.0,0,0.0,1.0,14132.0,14914.0,,,,,11150.666666666666,5854.124813610771,4406.0,14914.0,,,,,,,,,,,,,,0.0,0.0,7644.541399999999,1028.9288,,0,3,9,Abandon Rate
2024-02-18,4754.0,356.61,0.5757,0.0535,B,B - Daily,02/18/24 Sun,6,Sunday,2,February,18,7,1,Q1,1,0,1,0,0,0,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,0,0,0.0,1.0,0,0.0,1.0,7426.0,10052.0,4490.0,4971.0,4402.0,5266.0,9177.333333333334,1516.699486824376,7426.0,10054.0,9025.142857142857,2287.0709381631464,4490.0,10990.0,9395.5,2431.1173357121206,4490.0,13191.0,9570.466666666667,2336.831729785722,4402.0,13191.0,264.0,0.058797327394209356,0.25341105114508716,2736.8777999999998,254.339,4490.0,0,48,2304,Abandon Rate
