Date,Call Volume,CCT,Service Level,Abandon Rate,client,source_sheet,Date_raw,day_of_week,day_name,month,month_name,day_of_month,week_of_year,quarter,quarter_label,is_weekend,is_monday,is_sunday,is_month_start,is_month_end,is_pay_period,dow_sin,dow_cos,month_sin,month_cos,hour,minute,hour_sin,hour_cos,interval_num,interval_sin,interval_cos,Call Volume_lag_1,Call Volume_lag_2,Call Volume_lag_7,Call Volume_lag_14,Call Volume_lag_21,Call Volume_lag_28,Call Volume_rollmean_3,Call Volume_rollstd_3,Call Volume_rollmin_3,Call Volume_rollmax_3,Call Volume_rollmean_7,Call Volume_rollstd_7,Call Volume_rollmin_7,Call Volume_rollmax_7,Call Volume_rollmean_14,Call Volume_rollstd_14,Call Volume_rollmin_14,Call Volume_rollmax_14,Call Volume_rollmean_30,Call Volume_rollstd_30,Call Volume_rollmin_30,Call Volume_rollmax_30,diff_lag7,pct_change_7,volatility_ratio,volume_x_service,volume_x_abandon,lag7_x_weekend,interval_x_dow,trend,trend_squared,outlier_column
2024-01-08,6688.0,343.75,0.8036,0.0173,A,A - Daily,01/08/24 Mon,0,Monday,1,January,8,2,1,Q1,0,1,0,0,0,0,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0,0.0,1.0,0,0.0,1.0,1611.0,3529.0,2147.0,,,,3776.6666666666665,2299.5248059834735,1611.0,6190.0,4860.714285714285,2384.394382527473,1611.0,7458.0,,,,,,,,,4541.0,2.1150442477876106,0.4905440316735434,5374.4767999999995,115.7024,0.0,0,7,49,pct_change_7
2024-03-31,594.0,306.22,0.8736,0.0135,A,A - Daily,03/31/24 Sun,6,Sunday,3,March,31,13,1,Q1,1,0,1,0,1,0,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0,0,0.0,1.0,0,0.0,1.0,3561.0,4600.0,1476.0,1488.0,1211.0,1387.0,4326.0,671.335236673901,3561.0,4817.0,4184.571428571428,1330.678631017879,1476.0,5533.0,4255.642857142857,1296.662793905531,1476.0,5533.0,4177.933333333333,1273.5843238219666,1211.0,5533.0,-882.0,-0.5975609756097561,0.31799639550475056,518.9184,8.019,1476.0,0,90,8100,pct_change_7
2024-04-07,1434.0,329.64,0.9318,0.0076,A,A - Daily,04/07/24 Sun,6,Sunday,4,April,7,14,2,Q2,1,0,1,0,0,0,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.49999999999999983,0,0,0.0,1.0,0,0.0,1.0,3615.0,5505.0,594.0,1476.0,1488.0,1211.0,4785.666666666667,1022.6442848485173,3615.0,5505.0,4621.285714285715,1940.5109047435337,594.0,5958.0,4402.928571428572,1614.483649977278,594.0,5958.0,4248.9,1424.181249362061,594.0,5958.0,840.0,1.4141414141414141,0.41990714807891233,1336.2012,10.8984,594.0,0,97,9409,pct_change_7
2024-06-03,6408.0,317.47,0.9491,0.0062,A,A - Daily,06/03/24 Mon,0,Monday,6,June,3,23,2,Q2,0,1,0,1,0,0,0.0,1.0,1.2246467991473532e-16,-1.0,0,0,0.0,1.0,0,0.0,1.0,1633.0,3678.0,3209.0,5564.0,4971.0,5722.0,3525.0,1820.3288164504804,1633.0,5264.0,4142.571428571428,1383.2361641145312,1633.0,5473.0,4175.0,1325.4506345448635,1407.0,5564.0,4120.466666666666,1348.9271786621148,1132.0,5722.0,3199.0,0.9968837644125896,0.3339076194496765,6081.8328,39.7296,0.0,0,154,23716,pct_change_7
2024-06-09,5283.0,323.7,0.9359,0.0073,A,A - Daily,06/09/24 Sun,6,Sunday,6,June,9,23,2,Q2,1,0,1,0,0,0,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,0,0,0.0,1.0,0,0.0,1.0,5283.0,5283.0,1633.0,1407.0,1544.0,1132.0,5283.0,0.0,5283.0,5283.0,5003.428571428572,1547.2355839951933,1633.0,6408.0,4556.857142857143,1514.3861847241985,1407.0,6408.0,4358.5,1368.623011744234,1132.0,6408.0,3650.0,2.2351500306184935,0.3092350698939685,4944.3597,38.5659,1633.0,0,160,25600,pct_change_7
2024-06-16,1319.0,304.81,0.9788,0.0015,A,A - Daily,06/16/24 Sun,6,Sunday,6,June,16,24,2,Q2,1,0,1,0,0,0,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,0,0,0.0,1.0,0,0.0,1.0,3358.0,4965.0,5283.0,1633.0,1407.0,1544.0,4381.0,888.9055067891095,3358.0,4965.0,4869.857142857143,699.2251493787993,3358.0,5402.0,4936.642857142857,1155.5740236678143,1633.0,6408.0,4537.766666666666,1257.8929476772194,1407.0,6408.0,-3964.0,-0.7503312511830399,0.14358227127963843,1291.0372,1.9785000000000001,5283.0,0,167,27889,pct_change_7
2024-07-04,2361.0,319.75,0.88,0.0131,A,A - Daily,07/04/24 Thu,3,Thursday,7,July,4,27,3,Q3,0,0,0,0,0,0,0.43388373911755823,-0.900968867902419,-0.4999999999999998,-0.8660254037844388,0,0,0.0,1.0,0,0.0,1.0,5422.0,5755.0,5373.0,5063.0,4820.0,5283.0,5830.333333333333,450.7464179927834,5422.0,6314.0,4606.428571428572,1691.662777382344,1454.0,6314.0,4514.928571428572,1547.0178490485248,1454.0,6314.0,4711.2,1315.6808752570773,1319.0,6314.0,-3012.0,-0.5605806811836963,0.36723955471162684,2077.68,30.929100000000002,0.0,0,185,34225,pct_change_7
2024-07-11,5296.0,313.69,0.8522,0.019,A,A - Daily,07/11/24 Thu,3,Thursday,7,July,11,28,3,Q3,0,0,0,0,0,0,0.43388373911755823,-0.900968867902419,-0.4999999999999998,-0.8660254037844388,0,0,0.0,1.0,0,0.0,1.0,5188.0,5479.0,2361.0,5373.0,5063.0,4820.0,5677.0,612.4924489330393,5188.0,6364.0,4265.0,1817.8965867177358,1508.0,6364.0,4435.714285714285,1696.3044188230722,1454.0,6364.0,4454.733333333334,1510.7372927865674,1319.0,6364.0,2935.0,1.2431173231681492,0.42623601095374813,4513.2512,100.624,0.0,0,192,36864,pct_change_7
2024-09-07,6173.0,329.62,0.8846,0.0103,A,A - Daily,09/07/24 Sat,5,Saturday,9,September,7,36,3,Q3,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,-1.0,-1.8369701987210297e-16,0,0,0.0,1.0,0,0.0,1.0,6173.0,6173.0,3305.0,3182.0,3511.0,3234.0,6173.0,0.0,6173.0,6173.0,4833.285714285715,2014.1605955737245,1500.0,6860.0,4434.928571428572,1672.152204347886,1500.0,6860.0,4253.266666666666,1395.3732397322656,1439.0,6860.0,2868.0,0.8677760968229955,0.4167269875274457,5460.6358,63.5819,3305.0,0,250,62500,pct_change_7
2024-09-08,6173.0,329.62,0.8846,0.0103,A,A - Daily,09/08/24 Sun,6,Sunday,9,September,8,36,3,Q3,1,0,1,0,0,0,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,0,0,0.0,1.0,0,0.0,1.0,6173.0,6173.0,1500.0,1514.0,1469.0,1439.0,6173.0,0.0,6173.0,6173.0,5243.0,1941.8708333288632,1500.0,6860.0,4648.571428571428,1690.7273225215467,1500.0,6860.0,4314.833333333333,1438.7650375698356,1439.0,6860.0,4673.0,3.1153333333333335,0.37037399071692984,5460.6358,63.5819,1500.0,0,251,63001,pct_change_7
