Month,Day,Interval,Service Level,Call Volume,Abandoned Calls,Abandoned Rate,CCT,client,source_sheet,hour,minute,time_index,Call Volume_lag_1,Call Volume_lag_2,Call Volume_lag_7,Call Volume_lag_14,Call Volume_lag_21,Call Volume_lag_28,Call Volume_rollmean_3,Call Volume_rollstd_3,Call Volume_rollmin_3,Call Volume_rollmax_3,Call Volume_rollmean_7,Call Volume_rollstd_7,Call Volume_rollmin_7,Call Volume_rollmax_7,Call Volume_rollmean_14,Call Volume_rollstd_14,Call Volume_rollmin_14,Call Volume_rollmax_14,Call Volume_rollmean_30,Call Volume_rollstd_30,Call Volume_rollmin_30,Call Volume_rollmax_30,diff_lag7,pct_change_7,volatility_ratio,volume_x_service,trend,trend_squared,outlier_column
May,31,20:00:00,0.6667,43.0,7.0,0.1628,273.39,A,A - Interval,20.0,0.0,40.0,52.0,64.0,139.0,165.0,109.0,2.0,69.33333333333333,20.526405757787536,52.0,92.0,,,,,,,,,,,,,-96.0,0.0,0.0,28.6681,6,36,Service Level
May,31,20:30:00,0.6364,32.0,10.0,0.3125,277.27,A,A - Interval,20.0,30.0,41.0,43.0,52.0,127.0,157.0,145.0,169.0,53.0,10.535653752852724,43.0,64.0,64.57142857142857,35.477021402860856,5.0,112.0,,,,,,,,,-95.0,5.0,0.5494228978319159,20.3648,7,49,Service Level
May,31,21:00:00,0.6818,25.0,3.0,0.12,233.64,A,A - Interval,21.0,0.0,42.0,32.0,43.0,112.0,5.0,145.0,15.0,42.333333333333336,10.01665280087778,32.0,52.0,68.42857142857143,28.75098342003361,32.0,112.0,,,,,,,,,-87.0,-0.7767857142857143,0.4201605092698022,17.044999999999998,8,64,Service Level
June,1,00:30:00,0.0,2.0,1.0,0.5,181.0,A,A - Interval,0.0,30.0,1.0,5.0,8.0,32.0,127.0,157.0,145.0,58.333333333333336,89.79049689879955,5.0,162.0,36.42857142857143,56.24605806293494,5.0,162.0,50.5,47.47914521944588,5.0,162.0,,,,,-30.0,-0.9375,1.5440094370217434,0.0,14,196,Service Level
June,1,01:00:00,0.0,3.0,1.0,0.3333,312.0,A,A - Interval,1.0,0.0,2.0,2.0,5.0,25.0,112.0,5.0,145.0,5.0,2.9999999999992926,2.0,8.0,32.142857142857146,57.76223844758954,2.0,162.0,50.285714285714285,47.70652039199765,2.0,162.0,,,,,-22.0,-0.88,1.7970474183694523,0.0,15,225,Service Level
June,1,01:30:00,0.0,2.0,0.0,0.0,377.5,A,A - Interval,1.0,30.0,3.0,3.0,2.0,15.0,84.0,13.0,130.0,3.3333333333333335,1.5275252316505268,2.0,5.0,29.0,58.80476171195664,2.0,162.0,42.5,45.7127317730394,2.0,162.0,,,,,-13.0,-0.8666666666666667,2.0277504038605736,0.0,16,256,Service Level
May,31,23:00:00,0.5,6.0,0.0,0.0,437.5,A,A - Interval,23.0,0.0,46.0,8.0,3.0,0.0,8.0,52.0,222.0,4.333333333333333,3.2145502536636523,2.0,8.0,3.2857142857142856,2.497617912751588,0.0,8.0,3.357142857142857,2.3074175660628398,0.0,8.0,,,,,6.0,0.0,0.7601445821417877,3.0,26,676,Service Level
May,30,04:30:00,0.5,2.0,0.0,0.0,257.5,A,A - Interval,4.0,30.0,9.0,6.0,8.0,2.0,5.0,43.0,139.0,5.666666666666667,2.5166114784227465,3.0,8.0,4.142857142857143,2.193062655175667,2.0,8.0,3.2142857142857144,2.044827298653413,0.0,8.0,,,,,0.0,0.0,0.5293599512492989,1.0,27,729,Service Level
May,31,14:30:00,0.6159,169.0,5.0,0.0296,328.39,A,A - Interval,14.0,30.0,29.0,2.0,1.0,1.0,64.0,118.0,198.0,1.3333333333333333,0.5773502691936576,1.0,2.0,1.0,0.577350269191282,0.0,2.0,47.57142857142857,78.1248648350479,0.0,222.0,24.033333333333335,56.923108048358145,0.0,222.0,168.0,5.0,0.577350269191282,104.0871,42,1764,Service Level
June,2,06:30:00,0.6667,5.0,2.0,0.4,376.67,A,A - Interval,6.0,30.0,13.0,7.0,6.0,1.0,6.0,21.0,7.0,4.333333333333333,3.785938897201158,0.0,7.0,2.7142857142857144,2.7516228977528034,0.0,7.0,24.5,41.06420863439639,0.0,151.0,66.46666666666667,66.30479950034997,0.0,169.0,4.0,4.0,1.0137558044352433,3.3335,71,5041,Service Level
June,2,07:00:00,0.6364,11.0,0.0,0.0,287.45,A,A - Interval,7.0,0.0,14.0,5.0,7.0,1.0,86.0,29.0,1.0,6.0,1.0000000000036395,5.0,7.0,3.2857142857142856,2.751622897752793,0.0,7.0,24.5,41.06420863439639,0.0,151.0,66.56666666666666,66.20640834350651,0.0,169.0,10.0,5.0,0.8374504471421543,7.0004,72,5184,Service Level
June,1,20:30:00,0.3333,29.0,5.0,0.1724,319.13,A,A - Interval,20.0,30.0,41.0,21.0,40.0,1.0,79.0,23.0,2.0,28.333333333333332,10.214368964029633,21.0,40.0,46.857142857142854,43.53323853267618,1.0,132.0,57.785714285714285,37.020116301667876,1.0,132.0,88.03333333333333,85.22606179564683,1.0,246.0,28.0,5.0,0.9290630174656502,9.6657,115,13225,Service Level
June,1,21:00:00,0.1739,29.0,6.0,0.2069,270.87,A,A - Interval,21.0,0.0,42.0,29.0,21.0,73.0,90.0,36.0,3.0,30.0,9.539392014169374,21.0,40.0,50.857142857142854,39.73843048162423,21.0,132.0,54.214285714285715,37.22732365311306,1.0,132.0,80.9,80.64068879700358,1.0,246.0,-44.0,-0.7803030303030303,0.781373633065645,5.0431,116,13456,Service Level
June,1,22:30:00,0.4286,14.0,7.0,0.5,290.57,A,A - Interval,22.0,30.0,45.0,28.0,19.0,24.0,76.0,66.0,2.0,25.333333333333332,5.507570547285963,19.0,29.0,27.142857142857142,6.9144431308351395,19.0,40.0,42.07142857142857,35.01749954987192,1.0,132.0,59.13333333333333,60.13360603450159,1.0,246.0,-10.0,-0.4166666666666667,0.2547426416623472,6.0004,119,14161,Service Level
June,1,23:00:00,0.0,18.0,6.0,0.3333,377.42,A,A - Interval,23.0,0.0,46.0,14.0,28.0,40.0,73.0,59.0,13.0,20.333333333333332,7.0945988845974854,14.0,28.0,25.714285714285715,8.518886580502075,14.0,40.0,37.642857142857146,34.30991590882053,1.0,132.0,51.5,49.60099415021492,1.0,246.0,-22.0,-0.55,0.3312900336861918,0.0,120,14400,Service Level
