Month,Day,Interval,Service Level,Call Volume,Abandoned Calls,Abandoned Rate,CCT,client,source_sheet,hour,minute,time_index,Call Volume_lag_1,Call Volume_lag_2,Call Volume_lag_7,Call Volume_lag_14,Call Volume_lag_21,Call Volume_lag_28,Call Volume_rollmean_3,Call Volume_rollstd_3,Call Volume_rollmin_3,Call Volume_rollmax_3,Call Volume_rollmean_7,Call Volume_rollstd_7,Call Volume_rollmin_7,Call Volume_rollmax_7,Call Volume_rollmean_14,Call Volume_rollstd_14,Call Volume_rollmin_14,Call Volume_rollmax_14,Call Volume_rollmean_30,Call Volume_rollstd_30,Call Volume_rollmin_30,Call Volume_rollmax_30,diff_lag7,pct_change_7,volatility_ratio,volume_x_service,trend,trend_squared,outlier_column
May,31,19:30:00,0.98,52.0,2.0,0.0385,289.3,A,A - Interval,19.0,30.0,39.0,64.0,92.0,222.0,167.0,70.0,1.0,80.0,14.422205101855956,64.0,92.0,,,,,,,,,,,,,-170.0,0.0,0.0,50.96,5,25,Abandoned Rate
May,31,20:00:00,0.6667,43.0,7.0,0.1628,273.39,A,A - Interval,20.0,0.0,40.0,52.0,64.0,139.0,165.0,109.0,2.0,69.33333333333333,20.526405757787536,52.0,92.0,,,,,,,,,,,,,-96.0,0.0,0.0,28.6681,6,36,Abandoned Rate
May,31,20:30:00,0.6364,32.0,10.0,0.3125,277.27,A,A - Interval,20.0,30.0,41.0,43.0,52.0,127.0,157.0,145.0,169.0,53.0,10.535653752852724,43.0,64.0,64.57142857142857,35.477021402860856,5.0,112.0,,,,,,,,,-95.0,5.0,0.5494228978319159,20.3648,7,49,Abandoned Rate
May,31,21:00:00,0.6818,25.0,3.0,0.12,233.64,A,A - Interval,21.0,0.0,42.0,32.0,43.0,112.0,5.0,145.0,15.0,42.333333333333336,10.01665280087778,32.0,52.0,68.42857142857143,28.75098342003361,32.0,112.0,,,,,,,,,-87.0,-0.7767857142857143,0.4201605092698022,17.044999999999998,8,64,Abandoned Rate
June,1,00:30:00,0.0,2.0,1.0,0.5,181.0,A,A - Interval,0.0,30.0,1.0,5.0,8.0,32.0,127.0,157.0,145.0,58.333333333333336,89.79049689879955,5.0,162.0,36.42857142857143,56.24605806293494,5.0,162.0,50.5,47.47914521944588,5.0,162.0,,,,,-30.0,-0.9375,1.5440094370217434,0.0,14,196,Abandoned Rate
June,1,01:00:00,0.0,3.0,1.0,0.3333,312.0,A,A - Interval,1.0,0.0,2.0,2.0,5.0,25.0,112.0,5.0,145.0,5.0,2.9999999999992926,2.0,8.0,32.142857142857146,57.76223844758954,2.0,162.0,50.285714285714285,47.70652039199765,2.0,162.0,,,,,-22.0,-0.88,1.7970474183694523,0.0,15,225,Abandoned Rate
May,31,09:30:00,0.8939,70.0,4.0,0.0571,306.42,A,A - Interval,9.0,30.0,19.0,68.0,49.0,1.0,2.0,18.0,153.0,29.666666666666668,18.147543451755094,13.0,49.0,39.42857142857143,59.452662241644376,1.0,169.0,20.214285714285715,45.04558131053917,0.0,169.0,32.46666666666667,62.048775771264346,0.0,222.0,69.0,5.0,1.5078573756938791,62.573,47,2209,Abandoned Rate
May,31,07:30:00,0.9167,13.0,1.0,0.0769,298.42,A,A - Interval,7.0,30.0,15.0,5.0,157.0,130.0,27.0,1.0,8.0,109.0,90.15542135667715,5.0,165.0,130.28571428571428,57.716878772488116,5.0,167.0,105.0,59.86394831359111,5.0,167.0,77.33333333333333,74.58821823083439,0.0,222.0,-117.0,-0.9,0.4430023589993606,11.9171,58,3364,Abandoned Rate
June,1,09:30:00,1.0,28.0,1.0,0.0357,319.44,A,A - Interval,9.0,30.0,19.0,13.0,2.0,4.0,3.0,25.0,112.0,77.33333333333333,69.47181682764123,13.0,151.0,103.71428571428571,73.12709093469688,5.0,167.0,115.21428571428571,55.04708274451353,5.0,167.0,68.8,69.87891004420088,0.0,169.0,24.0,-0.8323353293413174,0.7050821439984548,28.0,61,3721,Abandoned Rate
June,2,06:30:00,0.6667,5.0,2.0,0.4,376.67,A,A - Interval,6.0,30.0,13.0,7.0,6.0,1.0,6.0,21.0,7.0,4.333333333333333,3.785938897201158,0.0,7.0,2.7142857142857144,2.7516228977528034,0.0,7.0,24.5,41.06420863439639,0.0,151.0,66.46666666666667,66.30479950034997,0.0,169.0,4.0,4.0,1.0137558044352433,3.3335,71,5041,Abandoned Rate
