Month,Day,Interval,Service Level,Call Volume,Abandoned Calls,Abandoned Rate,CCT,client,source_sheet,hour,minute,time_index,Call Volume_lag_1,Call Volume_lag_2,Call Volume_lag_7,Call Volume_lag_14,Call Volume_lag_21,Call Volume_lag_28,Call Volume_rollmean_3,Call Volume_rollstd_3,Call Volume_rollmin_3,Call Volume_rollmax_3,Call Volume_rollmean_7,Call Volume_rollstd_7,Call Volume_rollmin_7,Call Volume_rollmax_7,Call Volume_rollmean_14,Call Volume_rollstd_14,Call Volume_rollmin_14,Call Volume_rollmax_14,Call Volume_rollmean_30,Call Volume_rollstd_30,Call Volume_rollmin_30,Call Volume_rollmax_30,diff_lag7,pct_change_7,volatility_ratio,volume_x_service,trend,trend_squared,outlier_column
June,1,02:30:00,1.0,2.0,0.0,0.0,833.5,A,A - Interval,2.0,30.0,5.0,2.0,2.0,162.0,64.0,162.0,162.0,2.3333333333333335,0.5773502691858213,2.0,3.0,26.285714285714285,59.88520764961992,2.0,162.0,30.214285714285715,43.11019613721342,2.0,162.0,,,,,-160.0,-0.9876543209876543,2.2782415953659756,2.0,18,324,CCT
June,1,03:00:00,1.0,0.0,0.0,0.0,833.5,A,A - Interval,3.0,0.0,6.0,2.0,2.0,8.0,52.0,222.0,167.0,2.0,0.0,2.0,2.0,3.4285714285714284,2.2990681342049526,2.0,8.0,25.785714285714285,42.55345700758873,2.0,162.0,,,,,-8.0,-1.0,0.6705615391431112,0.0,19,361,CCT
May,31,01:00:00,1.0,2.0,0.0,0.0,90.0,A,A - Interval,1.0,0.0,2.0,6.0,4.0,18.0,153.0,206.0,208.0,130.0,111.49887891813084,6.0,222.0,94.85714285714286,89.50684996398985,2.0,222.0,49.07142857142857,77.1885446719358,0.0,222.0,40.13333333333333,61.09784878730822,0.0,222.0,-16.0,-0.6666666666666666,0.9435963098613388,2.0,33,1089,CCT
May,31,01:30:00,1.0,1.0,0.0,0.0,106.0,A,A - Interval,1.0,30.0,3.0,2.0,6.0,14.0,150.0,225.0,243.0,56.666666666666664,91.24326459160335,2.0,162.0,94.28571428571429,90.17892267729802,2.0,222.0,49.214285714285715,77.09253038886608,2.0,222.0,37.13333333333333,60.67137786431113,0.0,222.0,-13.0,-0.5,0.9564431193046758,1.0,34,1156,CCT
June,2,03:00:00,1.0,1.0,0.0,0.0,38.0,A,A - Interval,3.0,0.0,6.0,2.0,2.0,6.0,21.0,7.0,68.0,29.0,6.557438524302436,23.0,36.0,46.285714285714285,50.38423789809104,5.0,151.0,98.28571428571429,64.92294672139437,5.0,167.0,66.03333333333333,66.72769333246329,0.0,169.0,-5.0,-0.8,1.088548349650115,1.0,64,4096,CCT
June,2,01:00:00,1.0,1.0,0.0,0.0,647.0,A,A - Interval,1.0,0.0,2.0,20.0,86.0,19.0,33.0,87.0,23.0,84.0,140.29967925836465,2.0,246.0,122.0,117.77237933120541,2.0,246.0,182.5,101.70299897249836,2.0,246.0,111.43333333333334,113.82887438465764,0.0,246.0,-18.0,-0.9958847736625515,0.9653473715672575,1.0,95,9025,CCT
May,29,01:30:00,1.0,2.0,0.0,0.0,57.5,A,A - Interval,1.0,30.0,3.0,2.0,3.0,18.0,176.0,213.0,235.0,3.6666666666666665,2.0816659994657827,2.0,6.0,14.0,22.323380867005024,2.0,64.0,21.642857142857142,24.852200468607908,2.0,86.0,37.0,34.1820682976242,1.0,132.0,-16.0,-0.75,1.5945272047860732,2.0,132,17424,CCT
May,29,02:00:00,1.0,1.0,0.0,0.0,968.0,A,A - Interval,2.0,0.0,4.0,2.0,2.0,16.0,124.0,213.0,233.0,2.3333333333333335,0.57735026918837,2.0,3.0,13.142857142857142,22.704100741412848,2.0,64.0,19.785714285714285,25.307884364146645,2.0,86.0,34.06666666666667,33.23991507243941,1.0,132.0,-15.0,-0.6666666666666666,1.7274859259770645,1.0,133,17689,CCT
May,29,02:30:00,1.0,0.0,0.0,0.0,968.0,A,A - Interval,2.0,30.0,5.0,1.0,2.0,10.0,73.0,233.0,228.0,1.6666666666666667,0.5773502691883732,1.0,2.0,12.857142857142858,22.865028401678334,1.0,64.0,18.857142857142858,25.77075606442068,1.0,86.0,31.2,32.20987212127612,1.0,132.0,-10.0,-1.0,1.7783910979083148,0.0,134,17956,CCT
May,30,00:30:00,1.0,3.0,0.0,0.0,513.33,A,A - Interval,0.0,30.0,1.0,10.0,14.0,4.0,156.0,212.0,198.0,14.0,3.999999999992454,10.0,18.0,46.42857142857143,71.08412186242718,4.0,205.0,69.21428571428571,61.39929662767852,4.0,205.0,90.03333333333333,73.34306884175521,4.0,241.0,-1.0,-0.25,1.5310426247292008,3.0,241,58081,CCT
