Month,Day,Interval,Service Level,Call Volume,Abandoned Calls,Abandoned Rate,CCT,client,source_sheet,hour,minute,time_index,Call Volume_lag_1,Call Volume_lag_2,Call Volume_lag_7,Call Volume_lag_14,Call Volume_lag_21,Call Volume_lag_28,Call Volume_rollmean_3,Call Volume_rollstd_3,Call Volume_rollmin_3,Call Volume_rollmax_3,Call Volume_rollmean_7,Call Volume_rollstd_7,Call Volume_rollmin_7,Call Volume_rollmax_7,Call Volume_rollmean_14,Call Volume_rollstd_14,Call Volume_rollmin_14,Call Volume_rollmax_14,Call Volume_rollmean_30,Call Volume_rollstd_30,Call Volume_rollmin_30,Call Volume_rollmax_30,diff_lag7,pct_change_7,volatility_ratio,volume_x_service,trend,trend_squared,outlier_column
June,3,14:00:00,0.9964,1102.0,1.0,0.0009,350.78,C,C - Interval,14.0,0.0,28.0,1046.0,1059.0,927.0,133.0,18.0,87.0,1038.3333333333333,25.38372181799093,1010.0,1059.0,1032.2857142857142,65.46682184057111,927.0,1137.0,817.2142857142857,318.2065556960008,64.0,1137.0,569.4333333333333,375.7780602625871,8.0,1137.0,175.0,0.18878101402373246,0.06341928492720701,1098.0328,418,174724,Call Volume_rollmean_7
June,3,14:30:00,0.9294,1096.0,6.0,0.0055,364.8,C,C - Interval,14.0,30.0,29.0,1102.0,1046.0,991.0,87.0,14.0,54.0,1069.0,29.30870177950257,1046.0,1102.0,1057.2857142857142,50.19201226528409,991.0,1137.0,880.0714285714286,275.65710703578935,64.0,1137.0,605.8333333333334,372.5947306837997,8.0,1137.0,105.0,0.10595358224016145,0.04747251531644219,1018.6224,419,175561,Call Volume_rollmean_7
June,3,07:30:00,0.7737,145.0,8.0,0.0552,289.25,C,C - Interval,7.0,30.0,15.0,1096.0,1102.0,1137.0,1137.0,14.0,49.0,1081.3333333333333,30.74627348693092,1046.0,1102.0,1072.2857142857142,42.121705749392895,1010.0,1137.0,953.7857142857143,149.976499990667,684.0,1137.0,622.0666666666667,383.19554145175755,8.0,1137.0,-992.0,-0.872471416007036,0.039282166299726924,112.18650000000001,420,176400,Call Volume_rollmean_7
May,19,14:30:00,0.758,1060.0,23.0,0.0217,357.48,C,C - Interval,14.0,30.0,29.0,1064.0,1044.0,1016.0,417.0,9.0,46.0,1051.3333333333333,11.015141094575258,1044.0,1064.0,1049.4285714285713,17.39594917268916,1016.0,1067.0,919.7142857142857,165.0503086807307,520.0,1067.0,829.8,302.0129478841183,15.0,1067.0,44.0,0.04330708661417323,0.016576591915168002,803.48,588,345744,Call Volume_rollmean_7
May,19,15:00:00,0.9864,1031.0,4.0,0.0039,331.11,C,C - Interval,15.0,0.0,30.0,1060.0,1064.0,1048.0,34.0,8.0,23.0,1056.0,10.583005244261555,1044.0,1064.0,1055.7142857142858,9.42893217201648,1044.0,1067.0,941.7857142857143,161.37304062871942,520.0,1067.0,864.4,263.247569330888,15.0,1067.0,-17.0,-0.016221374045801526,0.008931329526943891,1016.9784000000001,589,346921,Call Volume_rollmean_7
May,19,15:30:00,0.9908,1086.0,1.0,0.0009,337.76,C,C - Interval,15.0,30.0,31.0,1031.0,1060.0,1061.0,23.0,14.0,17.0,1051.6666666666667,18.009256878988708,1031.0,1064.0,1053.2857142857142,13.187295473465822,1031.0,1067.0,954.5,160.8509821590734,520.0,1067.0,897.9666666666667,211.5102481145329,15.0,1067.0,25.0,0.0235626767200754,0.01252015032066469,1076.0088,590,348100,Call Volume_rollmean_7
May,19,16:00:00,0.9925,1064.0,3.0,0.0028,370.16,C,C - Interval,16.0,0.0,32.0,1086.0,1031.0,1067.0,121.0,25.0,14.0,1059.0,27.51363298439647,1031.0,1086.0,1056.857142857143,18.096303226789573,1031.0,1086.0,964.7857142857143,164.551688662737,520.0,1086.0,933.6666666666666,133.2424115283309,520.0,1086.0,-3.0,-0.0028116213683223993,0.017122752444921195,1056.02,591,349281,Call Volume_rollmean_7
May,20,01:00:00,1.0,27.0,0.0,0.0,371.0,C,C - Interval,1.0,0.0,2.0,1064.0,1086.0,1046.0,239.0,45.0,10.0,1060.3333333333333,27.682726262660676,1031.0,1086.0,1056.4285714285713,17.84990329438153,1031.0,1086.0,986.1428571428571,155.79762866905642,520.0,1086.0,947.6666666666666,123.46333626748829,520.0,1086.0,-1019.0,-0.9741873804971319,0.016896460183998745,27.0,592,350464,Call Volume_rollmean_7
June,9,08:00:00,0.9908,217.0,0.0,0.0,282.9,C,C - Interval,8.0,0.0,16.0,1132.0,1067.0,1001.0,105.0,12.0,17.0,1084.0,42.15447781673057,1053.0,1132.0,1039.857142857143,53.31175158578093,965.0,1132.0,846.3571428571429,347.08979267017304,22.0,1132.0,408.26666666666665,477.46969091988024,3.0,1132.0,-784.0,-0.7832167832167832,0.05126834195637677,215.0036,1803,3250809,Call Volume_rollmean_7
June,16,15:30:00,0.99,1099.0,3.0,0.0027,366.86,C,C - Interval,15.0,30.0,31.0,1136.0,1106.0,1035.0,386.0,8.0,265.0,1113.0,20.42057785669811,1097.0,1136.0,1081.0,34.96188400723929,1036.0,1136.0,711.0714285714286,444.83418938291584,10.0,1136.0,438.56666666666666,427.18886103046435,8.0,1136.0,64.0,0.02902621722846442,0.03234216836932404,1088.01,2139,4575321,Call Volume_rollmean_7
