Month,Day,Interval,Service Level,Call Volume,Abandoned Calls,Abandoned Rate,CCT,client,source_sheet,hour,minute,time_index,Call Volume_lag_1,Call Volume_lag_2,Call Volume_lag_7,Call Volume_lag_14,Call Volume_lag_21,Call Volume_lag_28,Call Volume_rollmean_3,Call Volume_rollstd_3,Call Volume_rollmin_3,Call Volume_rollmax_3,Call Volume_rollmean_7,Call Volume_rollstd_7,Call Volume_rollmin_7,Call Volume_rollmax_7,Call Volume_rollmean_14,Call Volume_rollstd_14,Call Volume_rollmin_14,Call Volume_rollmax_14,Call Volume_rollmean_30,Call Volume_rollstd_30,Call Volume_rollmin_30,Call Volume_rollmax_30,diff_lag7,pct_change_7,volatility_ratio,volume_x_service,trend,trend_squared,outlier_column
May,30,14:00:00,0.9085,475.0,5.0,0.0105,307.81,B,B - Interval,14.0,0.0,28.0,446.0,430.0,321.0,29.0,2.0,18.0,434.3333333333333,10.214368964025835,427.0,446.0,390.42857142857144,53.897610159935375,321.0,446.0,284.85714285714283,152.78635518157478,29.0,446.0,180.36666666666667,186.9407952254944,0.0,448.0,154.0,0.4797507788161994,0.13804730008033209,431.53749999999997,225,50625,Call Volume_rollmin_7
May,30,14:30:00,0.5548,447.0,18.0,0.0403,337.93,B,B - Interval,14.0,30.0,29.0,475.0,446.0,330.0,40.0,3.0,5.0,450.3333333333333,22.810816147899008,430.0,475.0,412.42857142857144,52.23937577108265,330.0,475.0,316.7142857142857,141.4079905105075,40.0,475.0,181.26666666666668,188.33351439315885,0.0,475.0,117.0,0.35454545454545455,0.12666284392018654,247.9956,226,51076,Call Volume_rollmin_7
May,30,15:00:00,0.797,473.0,0.0,0.0,305.61,B,B - Interval,15.0,0.0,30.0,447.0,475.0,351.0,433.0,6.0,72.0,456.0,16.46207763315175,446.0,475.0,429.14285714285717,38.33809494236151,351.0,475.0,345.7857142857143,120.42308657487472,80.0,475.0,181.53333333333333,188.71630474911524,0.0,475.0,122.0,0.3475783475783476,0.08933643961269326,376.981,227,51529,Call Volume_rollmin_7
May,30,15:30:00,0.9211,436.0,5.0,0.0115,319.27,B,B - Interval,15.0,30.0,31.0,473.0,447.0,428.0,80.0,5.0,3.0,465.0,15.620499351810535,447.0,475.0,446.57142857142856,20.452034477912484,427.0,475.0,348.64285714285717,123.09633947119947,80.0,475.0,197.03333333333333,193.01893481055768,0.0,475.0,8.0,0.018691588785046728,0.04579790190191535,401.5996,228,51984,Call Volume_rollmin_7
May,30,08:30:00,0.9914,117.0,1.0,0.0085,304.62,B,B - Interval,8.0,30.0,17.0,436.0,473.0,427.0,175.0,0.0,3.0,452.0,18.999999999997787,436.0,473.0,447.7142857142857,19.439772681406772,427.0,475.0,374.07142857142856,97.4264726982229,175.0,475.0,198.9,195.10887323182698,0.0,475.0,-310.0,-0.7259953161592506,0.043420041088017676,115.9938,229,52441,Call Volume_rollmin_7
May,29,15:00:00,0.9621,422.0,0.0,0.0,313.17,B,B - Interval,15.0,0.0,30.0,482.0,444.0,327.0,33.0,2.0,19.0,441.6666666666667,41.549167661136714,399.0,482.0,403.14285714285717,49.33703332328373,327.0,482.0,292.0,148.07742257658,5.0,482.0,311.4,148.59238389542102,3.0,482.0,95.0,0.290519877675841,0.12238101816548054,406.0062,246,60516,Call Volume_rollmin_7
May,29,07:30:00,0.9677,32.0,1.0,0.0313,285.39,B,B - Interval,7.0,30.0,15.0,422.0,482.0,382.0,109.0,1.0,4.0,449.3333333333333,30.35347316755115,422.0,482.0,416.7142857142857,36.22482705601295,382.0,482.0,321.7857142857143,126.23554209457835,18.0,482.0,318.6666666666667,148.4894825796819,3.0,482.0,-350.0,-0.9162303664921466,0.08692965011727481,30.9664,247,61009,Call Volume_rollmin_7
June,6,15:30:00,0.9737,421.0,2.0,0.0048,337.89,B,B - Interval,15.0,30.0,31.0,442.0,436.0,363.0,117.0,4.0,9.0,433.0,10.816653826385869,421.0,442.0,418.0,29.143323992524266,363.0,442.0,307.92857142857144,136.93932642188318,8.0,442.0,214.1,179.87147710479854,2.0,541.0,58.0,0.15977961432506887,0.0697208707955126,409.9277,288,82944,Call Volume_rollmin_7
June,6,16:00:00,0.9953,430.0,2.0,0.0047,363.21,B,B - Interval,16.0,0.0,32.0,421.0,442.0,433.0,182.0,3.0,7.0,433.0,10.816653826385869,421.0,442.0,426.2857142857143,16.327015298925048,394.0,442.0,329.64285714285717,128.15591894422792,8.0,442.0,223.06666666666666,183.3404470929148,2.0,541.0,-3.0,-0.006928406466512702,0.03830063910605742,427.979,289,83521,Call Volume_rollmin_7
June,6,16:30:00,0.9953,425.0,2.0,0.0047,349.21,B,B - Interval,16.0,30.0,33.0,430.0,421.0,437.0,205.0,2.0,4.0,431.0,10.535653752846523,421.0,442.0,425.85714285714283,16.159915134144775,394.0,442.0,347.35714285714283,123.22312916185629,8.0,442.0,233.83333333333334,185.7575511684302,2.0,541.0,-12.0,-0.02745995423340961,0.03794679836934366,423.0025,290,84100,Call Volume_rollmin_7
June,6,17:00:00,0.9974,391.0,1.0,0.0026,370.14,B,B - Interval,17.0,0.0,34.0,425.0,430.0,394.0,285.0,5.0,2.0,425.3333333333333,4.5092497528086755,421.0,430.0,424.14285714285717,15.399443403667611,394.0,442.0,363.07142857142856,117.57057735394778,8.0,442.0,244.7,187.128233738442,2.0,541.0,-3.0,-0.007614213197969543,0.03630720910261814,389.98339999999996,291,84681,Call Volume_rollmin_7
