Month,Day,Interval,Service Level,Call Volume,Abandoned Calls,Abandoned Rate,CCT,client,source_sheet,hour,minute,time_index,Call Volume_lag_1,Call Volume_lag_2,Call Volume_lag_7,Call Volume_lag_14,Call Volume_lag_21,Call Volume_lag_28,Call Volume_rollmean_3,Call Volume_rollstd_3,Call Volume_rollmin_3,Call Volume_rollmax_3,Call Volume_rollmean_7,Call Volume_rollstd_7,Call Volume_rollmin_7,Call Volume_rollmax_7,Call Volume_rollmean_14,Call Volume_rollstd_14,Call Volume_rollmin_14,Call Volume_rollmax_14,Call Volume_rollmean_30,Call Volume_rollstd_30,Call Volume_rollmin_30,Call Volume_rollmax_30,diff_lag7,pct_change_7,volatility_ratio,volume_x_service,trend,trend_squared,outlier_column
May,31,17:30:00,0.9977,436.0,0.0,0.0,323.88,C,C - Interval,17.0,30.0,35.0,900.0,333.0,336.0,11.0,538.0,153.0,244.0,375.0293321861638,22.0,677.0,143.57142857142858,236.5832180177183,22.0,677.0,121.57142857142857,172.49914795139162,7.0,677.0,,,,,100.0,3.5416666666666665,1.6478433095761473,434.9972,29,841,Call Volume_rollstd_3
May,30,20:30:00,0.9224,335.0,0.0,0.0,324.79,C,C - Interval,20.0,30.0,41.0,20.0,17.0,101.0,11.0,60.0,289.0,462.3333333333333,379.34724637636873,228.0,900.0,365.0,328.2499047981585,22.0,900.0,221.64285714285714,269.9691170779062,7.0,900.0,344.06666666666666,276.2516260939295,7.0,900.0,234.0,5.0,0.8993148076661878,309.004,33,1089,Call Volume_rollstd_3
June,2,03:30:00,1.0,14.0,0.0,0.0,226.29,C,C - Interval,3.0,30.0,7.0,1112.0,12.0,53.0,199.0,336.0,453.0,379.0,634.7968178874246,12.0,1112.0,178.85714285714286,411.72945347296087,12.0,1112.0,131.14285714285714,291.9301436837397,7.0,1112.0,122.6,220.7135137965363,7.0,1112.0,-39.0,-0.7358490566037735,2.302001736669909,14.0,78,6084,Call Volume_rollstd_3
June,2,09:00:00,0.99,599.0,1.0,0.0017,307.94,C,C - Interval,9.0,0.0,18.0,29.0,48.0,751.0,11.0,12.0,107.0,379.3333333333333,634.5087338511058,12.0,1112.0,173.28571428571428,413.9741192738643,12.0,1112.0,131.5,291.77223730426886,7.0,1112.0,111.96666666666667,217.8937550866182,7.0,1112.0,-152.0,5.0,2.3889685366175186,593.01,79,6241,Call Volume_rollstd_3
June,2,04:00:00,1.0,12.0,0.0,0.0,293.67,C,C - Interval,4.0,0.0,8.0,14.0,1112.0,29.0,5.0,314.0,472.0,575.0,549.3933017429317,14.0,1112.0,254.71428571428572,436.319345695984,12.0,1112.0,173.78571428571428,314.3646042346442,12.0,1112.0,131.46666666666667,234.37734581201548,7.0,1112.0,-17.0,-0.3333333333333333,1.7129755579763812,12.0,80,6400,Call Volume_rollstd_3
May,30,18:30:00,0.8223,627.0,8.0,0.0128,349.24,C,C - Interval,18.0,30.0,37.0,1081.0,11.0,14.0,53.0,199.0,336.0,368.0,617.4763153352524,11.0,1081.0,286.7142857142857,407.22013468790846,11.0,1081.0,230.0,398.8683993499611,11.0,1112.0,175.03333333333333,287.78853387493587,7.0,1112.0,613.0,0.04674457429048414,1.4202994234256896,515.5821,86,7396,Call Volume_rollstd_3
June,2,11:00:00,0.9503,1029.0,3.0,0.0029,344.57,C,C - Interval,11.0,0.0,22.0,627.0,1081.0,12.0,29.0,5.0,314.0,573.0,537.0400357515258,11.0,1081.0,290.7142857142857,410.9195843007546,11.0,1081.0,272.7142857142857,407.611509721135,11.0,1112.0,193.53333333333333,298.57335878258243,7.0,1112.0,1017.0,5.0,1.413482599560335,977.8587,87,7569,Call Volume_rollstd_3
June,2,06:00:00,1.0,29.0,0.0,0.0,211.1,C,C - Interval,6.0,0.0,12.0,48.0,90.0,1151.0,19.0,13.0,98.0,776.3333333333334,362.66421567799244,427.0,1151.0,882.5714285714286,283.87782415613094,427.0,1161.0,584.6428571428571,457.5141203609681,11.0,1161.0,335.1666666666667,434.9247325555375,7.0,1161.0,-1122.0,-0.9537480063795853,0.3216485544015728,29.0,93,8649,Call Volume_rollstd_3
June,2,07:30:00,0.9187,125.0,2.0,0.016,258.35,C,C - Interval,7.0,30.0,15.0,288.0,427.0,1029.0,12.0,29.0,5.0,402.3333333333333,361.6314883045079,29.0,751.0,797.1428571428571,427.3368806033592,29.0,1161.0,543.9285714285714,480.9025911739323,11.0,1161.0,335.46666666666664,434.7028896831152,7.0,1161.0,-904.0,-0.8785228377065112,0.5360856925131746,114.83749999999999,94,8836,Call Volume_rollstd_3
May,28,17:00:00,0.4753,702.0,136.0,0.1937,384.89,C,C - Interval,17.0,0.0,34.0,936.0,1029.0,76.0,890.0,46.0,9.0,331.3333333333333,523.6910666923138,23.0,936.0,380.57142857142856,317.05354812862856,23.0,936.0,365.07142857142856,221.1624757035892,23.0,936.0,345.06666666666666,187.93211051047038,5.0,936.0,626.0,0.4268292682926829,0.8330986625001502,333.6606,137,18769,Call Volume_rollstd_3
