Month,Day,Interval,Service Level,Call Volume,Abandoned Calls,Abandoned Rate,CCT,client,source_sheet,hour,minute,time_index,Call Volume_lag_1,Call Volume_lag_2,Call Volume_lag_7,Call Volume_lag_14,Call Volume_lag_21,Call Volume_lag_28,Call Volume_rollmean_3,Call Volume_rollstd_3,Call Volume_rollmin_3,Call Volume_rollmax_3,Call Volume_rollmean_7,Call Volume_rollstd_7,Call Volume_rollmin_7,Call Volume_rollmax_7,Call Volume_rollmean_14,Call Volume_rollstd_14,Call Volume_rollmin_14,Call Volume_rollmax_14,Call Volume_rollmean_30,Call Volume_rollstd_30,Call Volume_rollmin_30,Call Volume_rollmax_30,diff_lag7,pct_change_7,volatility_ratio,volume_x_service,trend,trend_squared,outlier_column
June,2,10:00:00,0.7885,946.0,10.0,0.0106,341.34,C,C - Interval,10.0,0.0,20.0,7.0,16.0,56.0,199.0,402.0,578.0,317.0,81.50460109711643,228.0,388.0,460.42857142857144,243.68617601528504,228.0,900.0,263.2142857142857,264.5839051362401,22.0,900.0,325.8666666666667,264.9328780749144,7.0,900.0,890.0,0.397341211225997,0.5292594576813513,745.9209999999999,35,1225,diff_lag7
June,2,12:30:00,0.9315,1112.0,2.0,0.0018,345.63,C,C - Interval,12.0,30.0,25.0,12.0,13.0,56.0,241.0,381.0,468.0,13.333333333333334,1.527525231688831,12.0,15.0,28.0,18.97366596101499,12.0,56.0,53.142857142857146,74.93469684471206,7.0,288.0,104.26666666666667,145.83834539827228,7.0,562.0,1056.0,5.0,0.6776309271791068,1035.828,77,5929,diff_lag7
June,2,11:00:00,0.9503,1029.0,3.0,0.0029,344.57,C,C - Interval,11.0,0.0,22.0,627.0,1081.0,12.0,29.0,5.0,314.0,573.0,537.0400357515258,11.0,1081.0,290.7142857142857,410.9195843007546,11.0,1081.0,272.7142857142857,407.611509721135,11.0,1112.0,193.53333333333333,298.57335878258243,7.0,1112.0,1017.0,5.0,1.413482599560335,977.8587,87,7569,diff_lag7
June,2,10:30:00,0.9397,1032.0,4.0,0.0039,321.62,C,C - Interval,10.0,30.0,21.0,1029.0,627.0,147.0,18.0,167.0,275.0,912.3333333333334,248.46998477348,627.0,1081.0,436.0,471.30280429181994,11.0,1081.0,344.92857142857144,446.69667290278494,11.0,1112.0,224.46666666666667,334.55948734823335,7.0,1112.0,885.0,5.0,1.080969734614266,969.7704,88,7744,diff_lag7
June,2,12:00:00,0.6777,1161.0,13.0,0.0112,351.38,C,C - Interval,12.0,0.0,24.0,1032.0,1029.0,12.0,15.0,145.0,272.0,896.0,232.9656627059019,627.0,1032.0,562.4285714285714,498.75907916309575,11.0,1081.0,417.57142857142856,470.95071019011266,11.0,1112.0,253.23333333333332,365.3141947961238,7.0,1112.0,1149.0,5.0,0.8867954163428169,786.8097,89,7921,diff_lag7
June,2,13:30:00,0.4808,1151.0,32.0,0.0278,375.25,C,C - Interval,13.0,30.0,27.0,1161.0,1032.0,19.0,13.0,98.0,456.0,1074.0,75.35914012248321,1029.0,1161.0,707.5714285714286,504.8332586583606,11.0,1161.0,499.57142857142856,494.4461881408664,11.0,1161.0,283.3666666666667,401.1605993075363,7.0,1161.0,1132.0,5.0,0.7134732102985109,553.4008,90,8100,diff_lag7
June,2,06:00:00,1.0,29.0,0.0,0.0,211.1,C,C - Interval,6.0,0.0,12.0,48.0,90.0,1151.0,19.0,13.0,98.0,776.3333333333334,362.66421567799244,427.0,1151.0,882.5714285714286,283.87782415613094,427.0,1161.0,584.6428571428571,457.5141203609681,11.0,1161.0,335.1666666666667,434.9247325555375,7.0,1161.0,-1122.0,-0.9537480063795853,0.3216485544015728,29.0,93,8649,diff_lag7
June,2,07:30:00,0.9187,125.0,2.0,0.016,258.35,C,C - Interval,7.0,30.0,15.0,288.0,427.0,1029.0,12.0,29.0,5.0,402.3333333333333,361.6314883045079,29.0,751.0,797.1428571428571,427.3368806033592,29.0,1161.0,543.9285714285714,480.9025911739323,11.0,1161.0,335.46666666666664,434.7028896831152,7.0,1161.0,-904.0,-0.8785228377065112,0.5360856925131746,114.83749999999999,94,8836,diff_lag7
June,2,07:00:00,0.9556,90.0,0.0,0.0,249.23,C,C - Interval,7.0,0.0,14.0,125.0,288.0,1032.0,147.0,18.0,167.0,193.66666666666666,207.69528962721674,29.0,427.0,668.0,479.057059927799,29.0,1161.0,552.0,472.1567536316727,11.0,1161.0,339.3333333333333,432.207591671931,7.0,1161.0,-942.0,-0.9127906976744186,0.7171512873170643,86.004,95,9025,diff_lag7
June,2,06:30:00,0.9787,48.0,1.0,0.0208,236.7,C,C - Interval,6.0,30.0,13.0,90.0,125.0,1161.0,12.0,15.0,145.0,74.33333333333333,60.05275458572621,8.0,125.0,368.7142857142857,436.67482725926044,8.0,1151.0,538.1428571428571,486.3627733006992,8.0,1161.0,332.76666666666665,434.4982586634948,8.0,1161.0,-1113.0,-0.9582971329278888,1.1843176252672696,46.9776,97,9409,diff_lag7
