Month,Day,Interval,Service Level,Call Volume,Abandoned Calls,Abandoned Rate,CCT,client,source_sheet,hour,minute,time_index,Call Volume_lag_1,Call Volume_lag_2,Call Volume_lag_7,Call Volume_lag_14,Call Volume_lag_21,Call Volume_lag_28,Call Volume_rollmean_3,Call Volume_rollstd_3,Call Volume_rollmin_3,Call Volume_rollmax_3,Call Volume_rollmean_7,Call Volume_rollstd_7,Call Volume_rollmin_7,Call Volume_rollmax_7,Call Volume_rollmean_14,Call Volume_rollstd_14,Call Volume_rollmin_14,Call Volume_rollmax_14,Call Volume_rollmean_30,Call Volume_rollstd_30,Call Volume_rollmin_30,Call Volume_rollmax_30,diff_lag7,pct_change_7,volatility_ratio,volume_x_service,trend,trend_squared,outlier_column
May,31,23:00:00,0.5,6.0,0.0,0.0,437.5,A,A - Interval,23.0,0.0,46.0,8.0,3.0,0.0,8.0,52.0,222.0,4.333333333333333,3.2145502536636523,2.0,8.0,3.2857142857142856,2.497617912751588,0.0,8.0,3.357142857142857,2.3074175660628398,0.0,8.0,,,,,6.0,inf,0.7601445821417877,3.0,26,676,pct_change_7
May,31,17:00:00,0.968,127.0,2.0,0.0157,324.13,A,A - Interval,17.0,0.0,34.0,139.0,222.0,157.0,145.0,169.0,1.0,5.333333333333333,3.0550504633032007,2.0,8.0,4.142857142857143,2.193062655175667,2.0,8.0,3.0,1.9999999999998825,0.0,8.0,,,,,-30.0,30.75,0.5293599512492989,122.93599999999999,28,784,pct_change_7
May,31,16:30:00,0.9856,139.0,0.0,0.0,286.12,A,A - Interval,16.0,30.0,33.0,222.0,162.0,165.0,109.0,2.0,1.0,45.0,71.04224095564552,2.0,127.0,21.714285714285715,46.47836158082701,2.0,127.0,11.928571428571429,33.178918899515985,0.0,127.0,,,,,-26.0,33.75,2.1404508622749283,136.9984,29,841,pct_change_7
June,9,13:00:00,0.9865,222.0,0.0,0.0,359.45,A,A - Interval,13.0,0.0,26.0,162.0,151.0,167.0,70.0,1.0,2.0,89.33333333333333,75.87050371081857,2.0,139.0,41.0,62.981478758970624,2.0,139.0,21.642857142857142,47.277588027207244,0.0,139.0,33.833333333333336,47.8129136598438,0.0,162.0,55.0,110.0,1.5361336282675762,219.00300000000001,30,900,pct_change_7
May,31,16:00:00,0.9752,162.0,1.0,0.0062,325.32,A,A - Interval,16.0,0.0,32.0,151.0,13.0,162.0,68.0,1.0,6.0,162.66666666666666,51.73329037798908,127.0,222.0,72.42857142857143,89.55976987996553,2.0,222.0,37.357142857142854,70.90471085885635,0.0,222.0,41.06666666666667,58.51668393587059,0.0,222.0,0.0,53.0,1.2365254224058357,157.98239999999998,31,961,pct_change_7
May,31,14:30:00,0.6159,169.0,5.0,0.0296,328.39,A,A - Interval,14.0,30.0,29.0,2.0,1.0,1.0,64.0,118.0,198.0,1.3333333333333333,0.5773502691936576,1.0,2.0,1.0,0.577350269191282,0.0,2.0,47.57142857142857,78.1248648350479,0.0,222.0,24.033333333333335,56.923108048358145,0.0,222.0,168.0,168.0,0.577350269191282,104.0871,42,1764,pct_change_7
May,31,08:00:00,0.8889,27.0,0.0,0.0,308.37,A,A - Interval,8.0,0.0,16.0,15.0,169.0,1.0,8.0,68.0,205.0,62.0,92.8924108848511,2.0,169.0,27.0,62.83576476285885,0.0,169.0,41.714285714285715,78.44785487230313,0.0,222.0,29.733333333333334,62.55201054313525,0.0,222.0,26.0,26.0,2.32725054677255,24.0003,44,1936,pct_change_7
June,1,08:30:00,1.0,13.0,0.0,0.0,284.77,A,A - Interval,8.0,30.0,17.0,2.0,6.0,4.0,2.0,32.0,127.0,70.33333333333333,85.65823564219227,15.0,169.0,30.714285714285715,61.802681402763014,0.0,169.0,27.785714285714285,58.83507401258142,0.0,169.0,30.566666666666666,62.3359548283959,0.0,222.0,9.0,inf,2.0121803247411214,13.0,45,2025,pct_change_7
May,31,08:30:00,0.9167,49.0,1.0,0.0204,321.06,A,A - Interval,8.0,30.0,17.0,27.0,15.0,0.0,4.0,57.0,195.0,18.333333333333332,7.571877794400805,13.0,27.0,32.57142857142857,60.91485079698585,1.0,169.0,17.142857142857142,44.39309915682,0.0,169.0,30.9,62.210072363310054,0.0,222.0,49.0,48.0,1.8701927876267588,44.918299999999995,46,2116,pct_change_7
May,31,09:30:00,0.8939,70.0,4.0,0.0571,306.42,A,A - Interval,9.0,30.0,19.0,68.0,49.0,1.0,2.0,18.0,153.0,29.666666666666668,18.147543451755094,13.0,49.0,39.42857142857143,59.452662241644376,1.0,169.0,20.214285714285715,45.04558131053917,0.0,169.0,32.46666666666667,62.048775771264346,0.0,222.0,69.0,69.0,1.5078573756938791,62.573,47,2209,pct_change_7
May,31,10:00:00,0.7407,109.0,1.0,0.0092,385.62,A,A - Interval,10.0,0.0,20.0,70.0,68.0,2.0,1.0,14.0,150.0,44.0,28.82707061079923,13.0,70.0,49.285714285714285,57.71399104120907,2.0,169.0,25.071428571428573,46.570813385001756,0.0,169.0,34.733333333333334,62.13940575131399,0.0,222.0,107.0,53.5,1.1710085138796043,80.7363,48,2304,pct_change_7
June,2,07:30:00,1.0,20.0,0.0,0.0,230.25,A,A - Interval,7.0,30.0,15.0,11.0,5.0,1.0,20.0,29.0,73.0,7.666666666666667,3.0550504633050664,5.0,11.0,4.714285714285714,3.7733400639359282,0.0,11.0,24.357142857142858,41.110745634121145,0.0,151.0,61.3,64.02539905489017,0.0,167.0,19.0,19.0,0.8004054681076211,20.0,73,5329,pct_change_7
June,2,08:00:00,0.9231,66.0,1.0,0.0152,278.2,A,A - Interval,8.0,0.0,16.0,20.0,11.0,3.0,1.0,19.0,33.0,12.0,7.549834435271205,5.0,20.0,7.428571428571429,6.502746672424104,0.0,20.0,15.0,19.06668459744551,0.0,68.0,61.46666666666667,63.90711650692657,0.0,167.0,63.0,21.0,0.8753697443647832,60.924600000000005,74,5476,pct_change_7
