Month,Day,Interval,Service Level,Call Volume,Abandoned Calls,Abandoned Rate,CCT,client,source_sheet,hour,minute,time_index,Call Volume_lag_1,Call Volume_lag_2,Call Volume_lag_7,Call Volume_lag_14,Call Volume_lag_21,Call Volume_lag_28,Call Volume_rollmean_3,Call Volume_rollstd_3,Call Volume_rollmin_3,Call Volume_rollmax_3,Call Volume_rollmean_7,Call Volume_rollstd_7,Call Volume_rollmin_7,Call Volume_rollmax_7,Call Volume_rollmean_14,Call Volume_rollstd_14,Call Volume_rollmin_14,Call Volume_rollmax_14,Call Volume_rollmean_30,Call Volume_rollstd_30,Call Volume_rollmin_30,Call Volume_rollmax_30,diff_lag7,pct_change_7,volatility_ratio,volume_x_service,trend,trend_squared,outlier_column
June,2,16:00:00,0.9958,1188.0,3.0,0.0025,350.62,C,C - Interval,16.0,0.0,32.0,8.0,15.0,90.0,1032.0,147.0,18.0,277.6666666666667,454.0862619958167,15.0,802.0,335.57142857142856,335.1620787732694,15.0,802.0,557.5714285714286,326.41472305729627,15.0,802.0,605.0,334.61073627064934,10.0,911.0,1098.0,0.48129675810473815,0.9987801410867969,1183.0104000000001,272,73984,volume_x_service
June,3,14:00:00,0.9964,1102.0,1.0,0.0009,350.78,C,C - Interval,14.0,0.0,28.0,1046.0,1059.0,927.0,133.0,18.0,87.0,1038.3333333333333,25.38372181799093,1010.0,1059.0,1032.2857142857142,65.46682184057111,927.0,1137.0,817.2142857142857,318.2065556960008,64.0,1137.0,569.4333333333333,375.7780602625871,8.0,1137.0,175.0,0.18878101402373246,0.06341928492720701,1098.0328,418,174724,volume_x_service
June,2,15:30:00,0.9964,1104.0,1.0,0.0009,360.62,C,C - Interval,15.0,30.0,31.0,266.0,56.0,600.0,1188.0,90.0,1032.0,217.66666666666666,143.73007108233531,56.0,331.0,363.14285714285717,177.0126441542418,56.0,600.0,566.2857142857143,334.80612726941376,56.0,1082.0,549.0333333333333,314.8335612103126,56.0,1082.0,504.0,0.84,0.48744630569618114,1100.0256,456,207936,volume_x_service
June,2,15:00:00,0.9921,1137.0,0.0,0.0,353.22,C,C - Interval,15.0,0.0,30.0,87.0,133.0,14.0,49.0,331.0,822.0,475.3333333333333,554.4739248452836,56.0,1104.0,435.14285714285717,327.73995208164087,56.0,1104.0,638.9285714285714,333.1413338984647,56.0,1104.0,557.7333333333333,326.62252106119024,56.0,1104.0,1123.0,1.194980694980695,0.7531778281587281,1128.0176999999999,457,208849,volume_x_service
June,23,16:00:00,0.9936,1096.0,7.0,0.0064,349.46,C,C - Interval,16.0,0.0,32.0,1039.0,1063.0,1091.0,551.0,351.0,14.0,735.3333333333334,575.1454888402881,72.0,1095.0,898.4285714285714,367.6782366611956,72.0,1095.0,878.7142857142857,279.4908636380498,72.0,1095.0,485.6,448.1350319898583,7.0,1095.0,5.0,0.00458295142071494,0.40924593045450297,1088.9856,1110,1232100,volume_x_service
June,16,15:30:00,0.99,1099.0,3.0,0.0027,366.86,C,C - Interval,15.0,30.0,31.0,1136.0,1106.0,1035.0,386.0,8.0,265.0,1113.0,20.42057785669811,1097.0,1136.0,1081.0,34.96188400723929,1036.0,1136.0,711.0714285714286,444.83418938291584,10.0,1136.0,438.56666666666666,427.18886103046435,8.0,1136.0,64.0,0.02902621722846442,0.03234216836932404,1088.01,2139,4575321,volume_x_service
June,16,16:00:00,0.9973,1093.0,0.0,0.0,374.74,C,C - Interval,16.0,0.0,32.0,1099.0,1136.0,1046.0,528.0,13.0,159.0,1113.6666666666667,19.655363983778184,1099.0,1136.0,1085.4285714285713,35.00408139471817,1036.0,1136.0,762.0,445.56895348272644,10.0,1136.0,454.03333333333336,442.66547526151777,8.0,1136.0,47.0,0.044933078393881457,0.032249087886684284,1090.0489,2140,4579600,volume_x_service
April,1,13:00:00,0.99,1101.0,1.0,0.0009,346.13,C,C - Interval,13.0,0.0,26.0,1070.0,1046.0,813.0,82.0,17.0,,1044.3333333333333,26.539279065842482,1017.0,1070.0,881.0,243.16729495007098,367.0,1070.0,625.5,399.8433828003536,8.0,1070.0,410.93333333333334,427.4226635700694,8.0,1070.0,288.0,0.35424354243542433,0.27601282060166965,1089.99,2927,8567329,volume_x_service
April,1,14:00:00,0.9913,1144.0,0.0,0.0,338.26,C,C - Interval,14.0,0.0,28.0,1065.0,1101.0,367.0,8.0,34.0,,1078.6666666666667,19.502136635115722,1065.0,1101.0,943.5714285714286,259.43904688311835,367.0,1101.0,770.3571428571429,349.08002325736453,8.0,1101.0,473.93333333333334,451.7577114837742,8.0,1101.0,777.0,2.11716621253406,0.2749543267497091,1134.0472,2929,8579041,volume_x_service
April,7,12:30:00,0.9776,1165.0,2.0,0.0017,341.47,C,C - Interval,12.0,30.0,25.0,1089.0,1016.0,24.0,9.0,15.0,95.0,1003.0,93.18261640456885,904.0,1089.0,796.0,349.55590873755,119.0,1089.0,754.0714285714286,354.2614124508167,80.0,1089.0,605.6333333333333,410.33833671095397,16.0,1102.0,1141.0,5.0,0.43914058886626883,1138.904,3143,9878449,volume_x_service
